solution type,time_0,time_5,time_10,time_15,time_20,time_25,time_30,time_35,time_40,time_45,time_50,time_55,time_60,time_65,,,,,,
glucose 0.5g,42.4,41.2,39.6,38.1,37.6,37.4,37.5,37.5,37.5,37.6,37.6,37.7,37.7,,,,,,,
glucose 1.0g,36.07,35.4,33.9,32.15,31.49,31,31.16,31.32,31.44,31.56,31.66,31.74,,,,,,,,
glucose 1.5g,33.96,33.87,33.52,33.38,33.29,33.27,33.14,33,32.92,32.89,32.88,32.86,,,,,,,,
glucose 2.0g,30.82,30.43,29.7,28.15,26.87,26.16,25.98,25.97,25.99,26.05,26.12,26.16,,,,,,,,
glucose 2.5g,38.54,38.59,38.27,37.81,37,36.31,35.67,35.45,35.41,35.43,35.46,35.5,,,,,,,,
ethanol 0.5g,21.76,23.12,22.47,19.44,19.5,19.78,20.06,20.38,20.6,20.75,20.94,21.02,21.16,21.32,21.24,21.37,21.5,21.66,21.71,21.75
ethanol 1.0g,26.18,25.31,21.13,21.17,21.48,21.75,21.98,22.18,22.3,22.48,22.51,22.65,22.72,22.8,22.67,22.91,22.98,23..08,23.16,23.23
ethanol 1.5g,21.23,19.18,17.27,17.54,17.79,18.05,18.23,18.4,18.52,18.5,18.6,18.73,18.8,18.95,19.12,19.23,19.27,19.32,___________,___________
ethanol 2.0g,20.3,21.7,21.41,19.5,18.29,18.45,18.65,18.82,19.04,19.16,19.18,19.34,19.46,19.54,19.61,19.65,19.74,19.8,19.87,19.91
ethanol 2.5g,22.54,22.22,19.2,17.21,16.82,16.96,17.2,17.42,17.58,17.69,17.82,17.98,18.14,18.29,18.4,18.54,18.68,18.81,18.95,19.12
,,,,,,,,,,,,,,,,,,,,
